CountryID,Country,Currency,Measure,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
762,Tajikistan,Somoni,IMF based exchange rate,3.30,3.44,3.43,4.14,4.38,4.61,4.74,4.76,4.94,6.16,7.84,8.55,9.15,9.53,10.32,11.31,11.03,10.84
762,Tajikistan,,Population,"7,057,566","7,194,477","7,338,403","7,490,230","7,652,141","7,824,785","8,014,084","8,216,724","8,425,552","8,643,840","8,865,631","9,085,946","9,307,333","9,529,966","9,749,310","9,966,908","10,182,222","10,389,799"
764,Thailand,Baht,AMA exchange rate,37.88,34.52,33.31,34.29,31.69,30.49,31.08,30.73,32.48,34.25,35.30,33.94,32.31,31.05,31.29,31.98,35.06,34.80
764,Thailand,Baht,IMF based exchange rate,37.88,34.52,33.31,34.29,31.69,30.49,31.08,30.73,32.48,34.25,35.30,33.94,32.31,31.05,31.29,31.98,35.06,34.80
764,Thailand,,Population,"66,567,687","67,102,394","67,619,830","68,121,080","68,579,447","69,007,208","69,436,098","69,845,114","70,216,367","70,540,795","70,859,841","71,160,187","71,376,079","71,522,271","71,641,484","71,727,332","71,735,329","71,702,435"
626,Timor-Leste,US Dollar,AMA exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
626,Timor-Leste,US Dollar,IMF based exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
626,Timor-Leste,,Population,"976,597","1,004,889","1,032,429","1,058,782","1,084,679","1,110,207","1,134,885","1,158,695","1,181,903","1,205,131","1,228,312","1,251,703","1,275,959","1,300,945","1,326,053","1,350,139","1,369,295","1,384,286"
768,Togo,CFA Franc BCEAO,AMA exchange rate,522.43,478.63,446.00,470.29,494.79,471.25,510.56,493.90,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
768,Togo,CFA Franc BCEAO,IMF based exchange rate,522.43,478.63,446.00,470.29,494.79,471.25,510.56,493.90,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
